DATE,AIRLINE_CODE,AIRLINE_NAME,AIRPORT_CODE,AIRPORT_NAME,ASM_DOMESTIC,ASM_INTERNATIONAL,FLIGHTS_DOMESTIC,FLIGHTS_INTERNATIONAL,PASSENGERS_DOMESTIC,PASSENGERS_INTERNATIONAL,RPM_DOMESTIC,RPM_INTERNATIONAL,RPM_TOTAL
2009-01-05,FA,Flock Air,FKT,Flocktopia,56863,,595,,61885,58,41313,0,41313
2009-01-06,FA,Flock Air,FKT,Flocktopia,53875,,565,,67300,73,45028,0,45028
2009-01-07,FA,Flock Air,FKT,Flocktopia,55769,,586,,64983,157,43628,0,43628
2009-01-08,FA,Flock Air,FKT,Flocktopia,54669,,572,,55009,144,37216,0,37216
2009-01-09,FA,Flock Air,FKT,Flocktopia,51560,,536,,48954,145,33222,0,33222
2009-01-10,FA,Flock Air,FKT,Flocktopia,53947,,560,,55022,134,37390,0,37390
2009-01-11,FA,Flock Air,FKT,Flocktopia,49746,,518,,47385,110,32034,0,32034
2009-01-12,FA,Flock Air,FKT,Flocktopia,48657,,508,,51512,54,34627,0,34627
2010-01-01,FA,Flock Air,FKT,Flocktopia,48024,,503,,47152,22,31864,0,31864
2010-01-02,FA,Flock Air,FKT,Flocktopia,43257,,454,,43117,42,29000,0,29000
2010-01-03,FA,Flock Air,FKT,Flocktopia,50680,,531,,56901,29,38187,0,38187
2010-01-04,FA,Flock Air,FKT,Flocktopia,41749,107,427,1,45132,51,31091,97,31188
2010-01-05,FA,Flock Air,FKT,Flocktopia,40388,,412,,45812,84,31582,0,31582
2010-01-06,FA,Flock Air,FKT,Flocktopia,39908,,404,,42620,213,29637,0,29637
2010-01-07,FA,Flock Air,FKT,Flocktopia,40742,,412,,46368,330,32299,0,32299
2010-01-08,FA,Flock Air,FKT,Flocktopia,41556,,418,,40127,118,28017,0,28017
2010-01-09,FA,Flock Air,FKT,Flocktopia,40497,,404,,38854,138,27119,0,27119
2010-01-10,FA,Flock Air,FKT,Flocktopia,42193,,421,,46181,109,32086,0,32086
2010-01-11,FA,Flock Air,FKT,Flocktopia,41164,,412,,40992,79,28470,0,28470
2010-01-12,FA,Flock Air,FKT,Flocktopia,43951,,438,,45964,129,31807,0,31807
2011-01-01,FA,Flock Air,FKT,Flocktopia,41915,,418,,35995,32,25309,0,25309
2011-01-02,FA,Flock Air,FKT,Flocktopia,37782,,378,,34060,24,23596,0,23596
2011-01-03,FA,Flock Air,FKT,Flocktopia,43670,,435,,39901,29,27775,0,27775
2011-01-04,FA,Flock Air,FKT,Flocktopia,42582,,425,,42252,444,29500,0,29500
2011-01-05,FA,Flock Air,FKT,Flocktopia,42193,,422,,44746,403,31167,0,31167
2011-01-06,FA,Flock Air,FKT,Flocktopia,44031,,434,,49199,209,34048,0,34048
2011-01-07,FA,Flock Air,FKT,Flocktopia,44486,,439,,50551,65,34667,0,34667
2011-01-08,FA,Flock Air,FKT,Flocktopia,44135,,436,,41232,189,28654,0,28654
2011-01-09,FA,Flock Air,FKT,Flocktopia,42495,,426,,40082,201,27630,0,27630
2011-01-10,FA,Flock Air,FKT,Flocktopia,44227,,443,,46420,190,31943,0,31943
2011-01-11,FA,Flock Air,FKT,Flocktopia,41991,,418,,43833,218,30068,0,30068
2011-01-12,FA,Flock Air,FKT,Flocktopia,45311,,449,,47597,222,32240,0,32240
2012-01-01,FA,Flock Air,FKT,Flocktopia,47536,,474,,39279,50,26826,0,26826
2012-01-02,FA,Flock Air,FKT,Flocktopia,41712,,414,,34833,109,23828,0,23828
2012-01-03,FA,Flock Air,FKT,Flocktopia,47784,,470,,45290,237,31160,0,31160
2012-01-04,FA,Flock Air,FKT,Flocktopia,38000,,378,,36496,60,25327,0,25327
2012-01-05,FA,Flock Air,FKT,Flocktopia,40870,,406,,41541,74,28759,0,28759
2012-01-06,FA,Flock Air,FKT,Flocktopia,39626,,394,,40313,188,27842,0,27842
2012-01-07,FA,Flock Air,FKT,Flocktopia,38715,,385,,39204,298,27209,0,27209
2012-01-08,FA,Flock Air,FKT,Flocktopia,37161,,369,,34557,216,24278,0,24278
2012-01-09,FA,Flock Air,FKT,Flocktopia,35344,,352,,29218,110,20444,0,20444
2012-01-10,FA,Flock Air,FKT,Flocktopia,38684,,385,,37039,97,25786,0,25786
2012-01-11,FA,Flock Air,FKT,Flocktopia,38877,,387,,36367,85,25265,0,25265
2012-01-12,FA,Flock Air,FKT,Flocktopia,41483,,414,,41561,,28488,0,28488
2013-01-01,FA,Flock Air,FKT,Flocktopia,42387,,426,,34681,,24128,0,24128
2013-01-02,FA,Flock Air,FKT,Flocktopia,38150,,385,,33428,,22927,0,22927
2013-01-03,FA,Flock Air,FKT,Flocktopia,42564,,432,,40483,,27744,0,27744
2013-01-04,FA,Flock Air,FKT,Flocktopia,36929,,384,,36335,,25185,0,25185
2013-01-05,FA,Flock Air,FKT,Flocktopia,37555,,393,,41227,,28199,0,28199
2013-01-06,FA,Flock Air,FKT,Flocktopia,37077,,388,,42449,142,29235,0,29235
2013-01-07,FA,Flock Air,FKT,Flocktopia,39514,,408,,41420,212,28963,0,28963
2013-01-08,FA,Flock Air,FKT,Flocktopia,38453,,398,,35129,120,24432,0,24432
2013-01-09,FA,Flock Air,FKT,Flocktopia,35174,,365,,31665,,22067,0,22067
2013-01-10,FA,Flock Air,FKT,Flocktopia,37415,,387,,42063,,29357,0,29357
2013-01-11,FA,Flock Air,FKT,Flocktopia,35374,,366,,36082,,25022,0,25022
2013-01-12,FA,Flock Air,FKT,Flocktopia,35386,,368,,40889,,27830,0,27830
2014-01-01,FA,Flock Air,FKT,Flocktopia,38586,,400,,36528,,25348,0,25348
2014-01-02,FA,Flock Air,FKT,Flocktopia,32939,,341,,37977,,26260,0,26260
2014-01-03,FA,Flock Air,FKT,Flocktopia,39151,,406,,45699,,31551,0,31551
2014-01-04,FA,Flock Air,FKT,Flocktopia,38317,,397,,45052,,31344,0,31344
2014-01-05,FA,Flock Air,FKT,Flocktopia,38130,,395,,51104,,35199,0,35199
2014-01-06,FA,Flock Air,FKT,Flocktopia,38195,,399,,50156,,34569,0,34569
2014-01-07,FA,Flock Air,FKT,Flocktopia,39011,,411,,49595,,34223,0,34223
2014-01-08,FA,Flock Air,FKT,Flocktopia,36188,,380,,43880,,30671,0,30671
2014-01-09,FA,Flock Air,FKT,Flocktopia,33972,,352,,39408,,27966,0,27966
2014-01-10,FA,Flock Air,FKT,Flocktopia,34592,,360,,41631,,29519,0,29519
2014-01-11,FA,Flock Air,FKT,Flocktopia,33700,,360,,39628,,27943,0,27943
2014-01-12,FA,Flock Air,FKT,Flocktopia,36682,,389,,42697,,30005,0,30005
2015-01-01,FA,Flock Air,FKT,Flocktopia,36459,,396,,40162,,28042,0,28042
2015-01-02,FA,Flock Air,FKT,Flocktopia,31150,,339,,34902,,24384,0,24384
2015-01-03,FA,Flock Air,FKT,Flocktopia,58303,,476,,50790,,45511,0,45511
2015-01-04,FA,Flock Air,FKT,Flocktopia,59041,,465,,52245,,47842,0,47842
2015-01-05,FA,Flock Air,FKT,Flocktopia,57560,,461,,54770,,48291,0,48291
2015-01-06,FA,Flock Air,FKT,Flocktopia,58795,,479,,59954,16,53764,0,53764
2015-01-07,FA,Flock Air,FKT,Flocktopia,118893,,1040,,142974,32,112338,0,112338
2015-01-08,FA,Flock Air,FKT,Flocktopia,110300,,978,,128972,37,97669,0,97669
2015-01-09,FA,Flock Air,FKT,Flocktopia,100630,,912,,121215,63,87525,0,87525
2015-01-10,FA,Flock Air,FKT,Flocktopia,108766,,968,,129563,46,98774,0,98774
2015-01-11,FA,Flock Air,FKT,Flocktopia,104448,,927,,122524,122,93355,0,93355
2015-01-12,FA,Flock Air,FKT,Flocktopia,104262,,922,,124347,145,95897,0,95897
2016-01-01,FA,Flock Air,FKT,Flocktopia,90239,,815,,105835,65,81073,0,81073
2016-01-02,FA,Flock Air,FKT,Flocktopia,81977,,792,,87860,38,70421,0,70421
2016-01-03,FA,Flock Air,FKT,Flocktopia,88853,,858,,98310,83,77773,0,77773
2016-01-04,FA,Flock Air,FKT,Flocktopia,88782,,844,,104517,283,81573,0,81573
2016-01-05,FA,Flock Air,FKT,Flocktopia,110759,,1082,,144985,282,105595,0,105595
2016-01-06,FA,Flock Air,FKT,Flocktopia,103866,,1005,,127941,255,98451,0,98451
2016-01-07,FA,Flock Air,FKT,Flocktopia,108980,,1048,,127795,150,101562,0,101562
2016-01-08,FA,Flock Air,FKT,Flocktopia,107707,,1056,,112763,130,91377,0,91377
2016-01-09,FA,Flock Air,FKT,Flocktopia,106585,,1053,,118802,171,91677,0,91677
2016-01-10,FA,Flock Air,FKT,Flocktopia,118251,,1138,,131622,194,102655,0,102655
2016-01-11,FA,Flock Air,FKT,Flocktopia,109399,,1077,,115485,51,90406,0,90406
2016-01-12,FA,Flock Air,FKT,Flocktopia,113250,,1082,,119060,54,93736,0,93736
2017-01-01,FA,Flock Air,FKT,Flocktopia,112822,,1084,,106483,,85825,0,85825
2017-01-02,FA,Flock Air,FKT,Flocktopia,107408,,1031,,105617,,83535,0,83535
2017-01-03,FA,Flock Air,FKT,Flocktopia,126094,,1194,,131823,,105153,0,105153
2002-01-10,GA,Goose Airways,FKT,Flocktopia,2093602,887184,16535,1357,2120947,176671,1527419,597313,2124732
2002-01-11,GA,Goose Airways,FKT,Flocktopia,1999098,823130,15658,1301,1993739,172111,1434927,566487,2001414
2002-01-12,GA,Goose Airways,FKT,Flocktopia,2057104,783201,16038,1298,2159529,183952,1615439,579713,2195152
2003-01-01,GA,Goose Airways,FKT,Flocktopia,2068740,780766,16316,1301,1880538,169462,1409105,536961,1946066
2003-01-02,GA,Goose Airways,FKT,Flocktopia,1798127,633201,14080,1104,1776826,143114,1307159,431583,1738742
2003-01-03,GA,Goose Airways,FKT,Flocktopia,2021094,747995,15890,1250,2075385,165644,1520997,535741,2056738
2003-01-04,GA,Goose Airways,FKT,Flocktopia,1900306,725658,14675,1210,1898353,159452,1404156,497104,1901260
2003-01-05,GA,Goose Airways,FKT,Flocktopia,1952156,701256,15383,1180,2008588,175694,1518488,564532,2083020
2003-01-06,GA,Goose Airways,FKT,Flocktopia,2004486,734015,15677,1237,2120757,202051,1651085,636078,2287163
2003-01-07,GA,Goose Airways,FKT,Flocktopia,2055686,797592,15926,1306,2196106,203743,1740328,637971,2378299
2003-01-08,GA,Goose Airways,FKT,Flocktopia,2124666,818038,16347,1369,2133540,204476,1717332,652217,2369549
2003-01-09,GA,Goose Airways,FKT,Flocktopia,2034915,773789,15846,1295,1803820,169384,1411215,589098,2000313
2003-01-10,GA,Goose Airways,FKT,Flocktopia,2114708,775761,16688,1298,2100875,178709,1604412,575989,2180401
2003-01-11,GA,Goose Airways,FKT,Flocktopia,2038504,727172,15895,1233,1943096,174495,1505121,563673,2068794
2003-01-12,GA,Goose Airways,FKT,Flocktopia,2134769,757977,16645,1323,2038304,196546,1641379,618522,2259901
2004-01-01,GA,Goose Airways,FKT,Flocktopia,2159176,730456,16872,1287,1854578,173115,1486135,545226,2031361
2004-01-02,GA,Goose Airways,FKT,Flocktopia,2039448,671491,16176,1173,1889992,154015,1453585,467169,1920754
2004-01-03,GA,Goose Airways,FKT,Flocktopia,2263289,721169,17818,1251,2202753,191400,1726662,604580,2331242
2004-01-04,GA,Goose Airways,FKT,Flocktopia,2178725,793941,17204,1327,2109863,193399,1643700,619759,2263459
2004-01-05,GA,Goose Airways,FKT,Flocktopia,2247707,862927,17675,1417,2158365,216217,1700687,714821,2415508
2004-01-06,GA,Goose Airways,FKT,Flocktopia,2227212,877810,17409,1425,2267306,239187,1851878,778582,2630460
2004-01-07,GA,Goose Airways,FKT,Flocktopia,2297263,907501,17841,1474,2340447,237825,1958342,747219,2705561
2004-01-08,GA,Goose Airways,FKT,Flocktopia,2297674,898458,17867,1464,2162914,217865,1802321,695836,2498157
2004-01-09,GA,Goose Airways,FKT,Flocktopia,2118043,849621,16319,1366,1764264,191700,1459701,661112,2120813
2004-01-10,GA,Goose Airways,FKT,Flocktopia,2232453,795376,17757,1330,2148841,189056,1683544,609230,2292774
2004-01-11,GA,Goose Airways,FKT,Flocktopia,2156718,764234,16992,1275,2077357,185443,1640302,588163,2228465
2004-01-12,GA,Goose Airways,FKT,Flocktopia,2244714,869869,17475,1456,2137044,221837,1744602,700321,2444923
2005-01-01,GA,Goose Airways,FKT,Flocktopia,2158223,859518,16583,1454,1944858,203907,1596318,642591,2238909
2005-01-02,GA,Goose Airways,FKT,Flocktopia,2235216,751138,17417,1313,1967886,179816,1601946,548469,2150415
2005-01-03,GA,Goose Airways,FKT,Flocktopia,2487231,863563,19279,1522,2429137,228436,1986012,697903,2683915
2005-01-04,GA,Goose Airways,FKT,Flocktopia,2407816,850256,18568,1447,2248290,211016,1831145,669415,2500560
2005-01-05,GA,Goose Airways,FKT,Flocktopia,2455806,945309,19074,1550,2285079,238909,1892240,795283,2687523
2005-01-06,GA,Goose Airways,FKT,Flocktopia,2367749,958136,18020,1547,2289522,252962,1958719,831417,2790136
2005-01-07,GA,Goose Airways,FKT,Flocktopia,2435493,1020253,18224,1636,2357596,250408,2070478,812951,2883429
2005-01-08,GA,Goose Airways,FKT,Flocktopia,2430419,1021286,18347,1632,2205316,226362,1946079,755940,2702019
2005-01-09,GA,Goose Airways,FKT,Flocktopia,2091704,957000,15242,1530,1797317,213711,1557336,735956,2293292
2005-01-10,GA,Goose Airways,FKT,Flocktopia,2128745,921473,15786,1516,1874057,203081,1577923,670168,2248091
2005-01-11,GA,Goose Airways,FKT,Flocktopia,2019138,866854,14651,1444,1823238,201129,1555924,644649,2200573
2005-01-12,GA,Goose Airways,FKT,Flocktopia,2035029,994808,14525,1761,1850536,262801,1639889,786007,2425896
2006-01-01,GA,Goose Airways,FKT,Flocktopia,1966084,969163,14268,1737,1729729,224971,1512062,694151,2206213
2006-01-02,GA,Goose Airways,FKT,Flocktopia,1762856,847167,12808,1550,1613983,205201,1391812,614814,2006626
2006-01-03,GA,Goose Airways,FKT,Flocktopia,2046580,1028910,14575,1889,1967805,278025,1722690,837559,2560249
2006-01-04,GA,Goose Airways,FKT,Flocktopia,1928413,1079972,13626,1890,1728240,263705,1519646,825208,2344854
2006-01-05,GA,Goose Airways,FKT,Flocktopia,1888172,1196544,13393,1932,1720025,296646,1524521,1004797,2529318
2006-01-06,GA,Goose Airways,FKT,Flocktopia,1948298,1329994,13440,2139,1841085,355159,1704552,1184967,2889519
2006-01-07,GA,Goose Airways,FKT,Flocktopia,2022092,1403038,13755,2304,1893730,345564,1796104,1108029,2904133
2006-01-08,GA,Goose Airways,FKT,Flocktopia,2038288,1343034,13869,2195,1749431,303423,1662710,1010019,2672729
2006-01-09,GA,Goose Airways,FKT,Flocktopia,1880872,1181790,13185,1737,1574046,246128,1412621,915640,2328261
2006-01-10,GA,Goose Airways,FKT,Flocktopia,1962467,1153884,14099,1713,1819637,231702,1574804,829615,2404419
2006-01-11,GA,Goose Airways,FKT,Flocktopia,1899062,982710,13703,1717,1767836,242123,1517994,763350,2281344
2006-01-12,GA,Goose Airways,FKT,Flocktopia,1837100,1099590,13118,1985,1691096,307660,1483390,895189,2378579
2007-01-01,GA,Goose Airways,FKT,Flocktopia,1785564,1136313,12459,2011,1545016,273906,1384507,841058,2225565
2007-01-02,GA,Goose Airways,FKT,Flocktopia,1625482,1010018,11331,1810,1471619,249236,1296884,740694,2037578
2007-01-03,GA,Goose Airways,FKT,Flocktopia,1869673,1169297,13054,2071,1874053,320185,1619087,986993,2606080
2007-01-04,GA,Goose Airways,FKT,Flocktopia,1751215,1129757,12324,1929,1736638,276463,1496097,884097,2380194
2007-01-05,GA,Goose Airways,FKT,Flocktopia,1784628,1249393,12362,1967,1711255,307140,1520330,1051470,2571800
2007-01-06,GA,Goose Airways,FKT,Flocktopia,1893582,1417140,12744,2184,1832619,361342,1692364,1239660,2932024
2007-01-07,GA,Goose Airways,FKT,Flocktopia,1977526,1488072,13111,2305,1892886,360670,1789117,1202706,2991823
2007-01-08,GA,Goose Airways,FKT,Flocktopia,1975562,1449434,13203,2185,1846347,324207,1734577,1144215,2878792
2007-01-09,GA,Goose Airways,FKT,Flocktopia,1821724,1269051,12534,1752,1585198,267196,1447146,1029551,2476697
2007-01-10,GA,Goose Airways,FKT,Flocktopia,1930557,1232822,13648,1730,1807279,258330,1583888,963796,2547684
2007-01-11,GA,Goose Airways,FKT,Flocktopia,1871436,1130026,12968,1741,1687844,259762,1475302,891859,2367161
2007-01-12,GA,Goose Airways,FKT,Flocktopia,1840918,1254813,12513,1983,1619515,319824,1472611,1047011,2519622
2008-01-01,GA,Goose Airways,FKT,Flocktopia,1767393,1224830,11931,1942,1511668,281624,1390982,932405,2323387
2008-01-02,GA,Goose Airways,FKT,Flocktopia,1703403,1129348,11641,1812,1528877,262409,1375931,836996,2212927
2008-01-03,GA,Goose Airways,FKT,Flocktopia,1854887,1285488,12737,2049,1835484,330196,1622664,1068875,2691539
2008-01-04,GA,Goose Airways,FKT,Flocktopia,1734960,1288238,12059,1858,1679468,283677,1484469,1001043,2485512
2008-01-05,GA,Goose Airways,FKT,Flocktopia,1689939,1440857,11747,1957,1650768,327923,1480731,1225821,2706552
2008-01-06,GA,Goose Airways,FKT,Flocktopia,1824045,1560183,12372,2183,1776232,375644,1642757,1348565,2991322
2008-01-07,GA,Goose Airways,FKT,Flocktopia,1898891,1668447,12741,2403,1869945,377574,1729153,1312037,3041190
2008-01-08,GA,Goose Airways,FKT,Flocktopia,1846639,1618849,12572,2266,1780158,341823,1642836,1280752,2923588
2008-01-09,GA,Goose Airways,FKT,Flocktopia,1767489,1418753,12777,1786,1682227,278149,1490403,1127608,2618011
2008-01-10,GA,Goose Airways,FKT,Flocktopia,1858516,1351722,13818,1756,1896548,269194,1594124,1043713,2637837
2008-01-11,GA,Goose Airways,FKT,Flocktopia,1791266,1340573,13164,1797,1742072,266364,1468815,1002610,2471425
2008-01-12,GA,Goose Airways,FKT,Flocktopia,1780471,1471491,12574,2105,1733955,332437,1526426,1185023,2711449
2009-01-01,GA,Goose Airways,FKT,Flocktopia,1751624,1435732,12355,2085,1571233,290107,1395705,1054187,2449892
2009-01-02,GA,Goose Airways,FKT,Flocktopia,1557075,1246776,11054,1846,1425660,248332,1255278,836437,2091715
2009-01-03,GA,Goose Airways,FKT,Flocktopia,1719130,1391494,12097,2115,1639364,306528,1432631,1038184,2470815
2009-01-04,GA,Goose Airways,FKT,Flocktopia,1638232,1332635,12027,2018,1638436,290126,1398455,995844,2394299
2009-01-05,GA,Goose Airways,FKT,Flocktopia,1631065,1333082,12237,1962,1669861,299188,1428706,1093313,2522019
2009-01-06,GA,Goose Airways,FKT,Flocktopia,1709754,1438852,12181,2130,1702476,355765,1532751,1252071,2784822
2009-01-07,GA,Goose Airways,FKT,Flocktopia,1830108,1464158,12793,2201,1816526,352603,1663273,1220949,2884222
2009-01-08,GA,Goose Airways,FKT,Flocktopia,1807642,1381936,12853,1998,1750963,299653,1599067,1113925,2712992
2009-01-09,GA,Goose Airways,FKT,Flocktopia,1687034,1198161,12751,1579,1625454,247508,1405075,986348,2391423
2009-01-10,GA,Goose Airways,FKT,Flocktopia,1779041,1106271,13827,1568,1819868,241747,1517035,905090,2422125
2009-01-11,GA,Goose Airways,FKT,Flocktopia,1732434,975523,13454,1558,1693344,225518,1406442,762101,2168543
2009-01-12,GA,Goose Airways,FKT,Flocktopia,1704255,1117397,12538,1973,1600374,301111,1411915,934256,2346171
2010-01-01,GA,Goose Airways,FKT,Flocktopia,1730996,1220459,12413,2021,1505643,273170,1351166,923270,2274436
2010-01-02,GA,Goose Airways,FKT,Flocktopia,1546204,1069465,11065,1801,1415486,247029,1253961,789826,2043787
2010-01-03,GA,Goose Airways,FKT,Flocktopia,1835655,1245350,13291,2077,1846853,309809,1600629,988091,2588720
2010-01-04,GA,Goose Airways,FKT,Flocktopia,1846398,1187378,13954,1854,1881071,277214,1588348,952965,2541313
